+------------------------------------+--------------------------------------------------------------+
|              Package               |                           License                            |
+------------------------------------+--------------------------------------------------------------+
|           appdirs 1.4.4            |                             MIT                              |
|        CacheControl 0.12.6         |                   Apache Software License                    |
|         certifi 2022.6.15          |                           MPL-2.0                            |
|            cffi 1.15.1             |                             MIT                              |
|           chardet 4.0.0            |                             LGPL                             |
|            click 8.1.3             |                         BSD-3-Clause                         |
|           colorama 0.4.5           |                             BSD                              |
|          commonmark 0.9.1          |                         BSD-3-Clause                         |
|        cryptography 37.0.4         |                  BSD-3-Clause OR Apache-2.0                  |
|          diagrams 0.21.1           |                             MIT                              |
|           distlib 0.3.4            |                        Python license                        |
|            distro 1.7.0            |                 Apache License, Version 2.0                  |
|           docutils 0.19            | public domain, Python, 2-Clause BSD, GPL 3 (see COPYING.txt) |
|           future 0.18.2            |                             MIT                              |
|          ghp-import 2.1.0          |                   Apache Software License                    |
|          graphviz 0.19.2           |                             MIT                              |
|            html5lib 1.1            |                         MIT License                          |
|              idna 3.3              |                         BSD-3-Clause                         |
|     importlib-metadata 4.12.0      |                   Apache Software License                    |
|        jaraco.context 4.1.1        |                         MIT License                          |
|       jaraco.functools 3.5.0       |                         MIT License                          |
|         jaraco.text 3.8.0          |                         MIT License                          |
|            Jinja2 3.1.2            |                         BSD-3-Clause                         |
|           Markdown 3.3.7           |                         BSD License                          |
|          MarkupSafe 2.1.1          |                         BSD-3-Clause                         |
|          mergedeep 1.3.4           |                             MIT                              |
|            mkdocs 1.3.0            |                             BSD                              |
|       mkdocs-material 8.3.9        |                             MIT                              |
|  mkdocs-material-extensions 1.0.3  |                         MIT License                          |
| mkdocs-render-swagger-plugin 0.0.3 |                         MIT License                          |
|       more-itertools 8.13.0        |                         MIT License                          |
|           msgpack 1.0.3            |                          Apache 2.0                          |
|           nspektr 0.4.0            |                         MIT License                          |
|         ordered-set 4.0.2          |                         MIT-LICENSE                          |
|           packaging 21.3           |                  BSD-2-Clause or Apache-2.0                  |
|           pep517 0.12.0            |                         MIT License                          |
|             pip 22.1.2             |                             MIT                              |
|         platformdirs 2.5.1         |                             MIT                              |
|              ply 3.11              |                             BSD                              |
|         prettytable 3.3.0          |                        BSD (3 clause)                        |
|           pycparser 2.21           |                             BSD                              |
|          Pygments 2.12.0           |                         BSD License                          |
|       pymdown-extensions 9.5       |                         MIT License                          |
|          pyOpenSSL 22.0.0          |                 Apache License, Version 2.0                  |
|          pyparsing 3.0.9           |                         MIT License                          |
|       python-dateutil 2.8.2        |                         Dual License                         |
|             PyYAML 6.0             |                             MIT                              |
|         pyyaml-env-tag 0.1         |                       MIT License (MIT)                      |
|          requests 2.27.1           |                          Apache 2.0                          |
|          resolvelib 0.8.1          |                         ISC License                          |
|            rich 12.5.0             |                             MIT                              |
|         setuptools 61.3.1          |                         MIT License                          |
|             six 1.16.0             |                             MIT                              |
|           tenacity 8.0.1           |                          Apache 2.0                          |
|            tomli 2.0.1             |                         MIT License                          |
|    trove-classifiers 2022.6.26     |                   Apache Software License                    |
|      typing-extensions 4.2.0       |              Python Software Foundation License              |
|           urllib3 1.26.9           |                             MIT                              |
|       validate-pyproject 0.9       |               MPL-2.0 and MIT and BSD-3-Clause               |
|           watchdog 2.1.9           |                      Apache License 2.0                      |
|           wcwidth 0.2.5            |                             MIT                              |
|         webencodings 0.5.1         |                             BSD                              |
|             zipp 3.8.1             |                         MIT License                          |
+------------------------------------+--------------------------------------------------------------+
